FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.1,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.3,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.9,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.7,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104.7,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,113.2,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,119.6,,
A,Annual,IT,Italy,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120.8,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.3,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,103,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.7,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104.4,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.5,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,119.1,,
A,Annual,ITC,Nord-ovest,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,100.9,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.1,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.8,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.8,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104.5,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.3,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,119.1,,
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.7,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,100.7,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,101.9,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.6,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.5,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,111.8,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,118.6,,
A,Annual,ITC11,Torino,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,119.4,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.8,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.3,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.9,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.5,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104.2,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.3,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,118.5,,
A,Annual,ITC4,Lombardia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,119.5,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.6,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.1,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.3,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,103,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.5,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.4,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,119.3,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120.6,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,100,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.3,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.5,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,103.2,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.9,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,105,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,114,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,120.1,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,121.4,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.1,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.2,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.7,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.5,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104.2,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.4,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,118.8,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,100.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.2,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.2,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.9,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,103.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,105.3,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,113.9,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,120.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,121.2,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.3,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.3,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.9,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.9,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,105.2,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,115.4,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,122.1,,
A,Annual,ITG,Isole,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,123.1,,
