Region,Year,territory_code,population,area_km2,density,log_density,gdp,gdp_per_capita,log_gdp,log_gdp_per_capita,tourism_arrivals,tourism_nightspent,log_tourism_nightspent,Observation_Average_Monthly_Exp,Observation_CPI_housing,Observation_Disp_Income,Observation_Income_Percentage,HPI_average
Abruzzo,2011,ITF1,1329220.0,10831.4964,122.71803921755446,4.809889359798623,34778.9,26164.893697055417,10.456766160036064,10.172173856006363,957033,3346473.0,15.023417513359403,286.0,,20779.2,13.6,887.5524399306416
Abruzzo,2012,ITF1,1331624.0,10831.4964,122.93998454359456,4.811696305755694,34165.9,25657.317681267385,10.438983349616342,10.15258409962957,929495,3197758.0,14.97796049721756,274.0,,20004.9,12.2,890.8336547702056
Abruzzo,2013,ITF1,1332583.0,10831.4964,123.02852263330854,4.812416219817491,33349.6,25026.28354106273,10.414801057268845,10.127681893220274,887904,2987950.0,14.910098091493763,259.0,,20121.2,12.0,882.4199755098266
Abruzzo,2014,ITF1,1329918.0,10831.4964,122.78248091371752,4.810414341966552,32913.6,24748.59352230739,10.40164122519821,10.11652393900058,919549,2947385.0,14.896428894517165,240.0,,19973.4,10.9,869.6605293440737
Abruzzo,2015,ITF1,1325836.0,10831.4964,122.40561701151468,4.807340259642234,33008.8,24896.593545506385,10.404529471566049,10.122486267692736,1005595,3093723.0,14.944885777988327,222.0,,20247.5,10.2,844.5468929804373
Abruzzo,2016,ITF1,1319294.0,10831.4964,121.8016376758432,4.802393800799881,33192.3,25159.13814509882,10.410073200294343,10.132976455263384,1054634,3245466.0,14.992769503357032,264.0,99.2,20311.9,12.0,820.3754315304948
Abruzzo,2017,ITF1,1313930.0,10831.4964,121.30641524286524,4.7983197019617805,33325.6,25363.2994147329,10.414081149385956,10.141058503193095,1123044,3601086.0,15.096746024600764,246.0,101.0,20611.8,10.8,794.77416570771
Abruzzo,2018,ITF1,1306059.0,10831.4964,120.57973817911254,4.792311261713012,33208.1,25426.186718976707,10.410549101050911,10.143534895106823,1196641,3555228.0,15.083929754184012,240.0,104.0,20846.2,10.3,787.2065592635213
Abruzzo,2019,ITF1,1300645.0,10831.4964,120.07989957878766,4.788157351038945,33412.1,25688.869753084047,10.416673388807988,10.153813093537964,1217085,3606096.0,15.098136304687204,264.0,105.4,20868.8,11.0,776.6451149425288
Abruzzo,2020,ITF1,1293941.0,10831.4964,119.46096386091214,4.782989655754049,30550.3,23610.272802237505,10.327129784518792,10.069437184533664,604332,2054383.0,14.535486117521422,284.0,102.0,20343.4,11.2,758.3663793103449
Abruzzo,2021,ITF1,1281012.0,10831.7158,118.2649197646046,4.772927190783968,33100.8,25839.57058950268,10.407312730257374,10.159662339705156,891648,2835886.0,14.857864968365003,261.0,109.9,21525.7,12.0,748.6738505747127
Abruzzo,2022,ITF1,1275950.0,10831.7158,117.7975884485448,4.768967799433618,34957.6,27397.311806888985,10.461891177527376,10.218200178325509,1130109,3453385.0,15.054865467405545,273.0,155.3,22880.9,11.3,748.5402298850574
Abruzzo,2023,ITF1,1272627.0,10831.7158,117.49080418081132,4.766360068230593,35692.1,28046.00248148122,10.482684654764409,10.241601386765565,1208561,3623081.0,15.102835326789869,283.0,159.2,24394.5,11.1,753.721264367816
Abruzzo,2024,ITF1,1269571.0,10831.7158,117.20866974740972,4.763955848360983,,,,,1222376,3704928.0,15.125174383325117,249.0,146.7,,9.0,762.0112715599721
Basilicata,2011,ITF5,580790.0,10073.1105,57.65746340219339,4.0545196989115455,11293.6,19445.23838220355,9.33199147256999,9.87535750582062,464869,1699541.0,14.345868772569885,224.0,,7505.9,10.8,712.6140873015872
Basilicata,2012,ITF5,579360.0,10073.1105,57.51550129426258,4.052054499197369,10972.6,18939.1742612538,9.303156535214184,9.84898776817899,448453,1586060.0,14.276763511482793,235.0,,7313.3,11.0,701.1631944444445
Basilicata,2013,ITF5,577550.0,10073.1105,57.33581498981868,4.048925471914727,11167.9,19336.680806856548,9.320798870807335,9.869759131054783,425993,1505987.0,14.224959055166604,209.0,,7258.6,10.5,695.0595238095239
Basilicata,2014,ITF5,575814.0,10073.1105,57.16347497627471,4.045915145060449,11009.5,19119.88940873268,9.30651381542484,9.858484402526566,439047,1513785.0,14.230123694969429,237.0,,7319.2,12.1,725.6179273228997
Basilicata,2015,ITF5,573236.0,10073.1105,56.90754608519384,4.041427952465443,11997.1,20928.727435122702,9.392420232897376,9.948878012594108,451507,1521335.0,14.23509879682563,242.0,,7552.7,12.2,727.3138401732463
Basilicata,2016,ITF5,569887.0,10073.1105,56.57507678487196,4.03556854874134,12391.1,21743.082400546074,9.424733751957586,9.987050935378422,417797,1452154.0,14.18855852934891,250.0,100.6,7507.7,11.8,725.2132936507937
Basilicata,2017,ITF5,566405.0,10073.1105,56.2294040157705,4.0294398232042,12410.8,21911.52973578976,9.42632234026275,9.994768249220726,454802,1658621.0,14.321497092199683,233.0,102.3,7552.7,11.1,725.5853174603175
Basilicata,2018,ITF5,562968.0,10073.1105,55.8881985857298,4.02335324133847,12712.9,22581.9229512157,9.450372504955212,10.024904995778916,487877,1637111.0,14.308443661018442,243.0,104.0,7719.5,11.4,724.5925390119601
Basilicata,2019,ITF5,558587.0,10073.1105,55.45327830961449,4.015540833953425,12504.0,22385.053715893853,9.433803872101311,10.016148770310062,484325,1640736.0,14.310655479616342,259.0,104.9,7811.5,11.8,724.4940476190476
Basilicata,2020,ITF5,553254.0,10073.1105,54.92384899381378,4.00594766208958,11304.4,20432.56804288808,9.33294730944248,9.924885379515077,231559,922993.0,13.7353769294909,240.0,100.2,7835.5,11.8,685.2224598835558
Basilicata,2021,ITF5,545130.0,10073.1768,54.116989190540174,3.991148169651224,12450.9,22840.239942765947,9.429548188436746,10.036279169089807,333834,1263765.0,14.04960591868258,252.0,109.1,8125.6,11.3,660.6958250497019
Basilicata,2022,ITF5,541168.0,10073.1768,53.7236673935873,3.983853638006655,12583.4,23252.29873163232,9.440133764008271,10.054159276305905,444459,1568518.0,14.265641782479442,268.0,145.3,8534.1,11.1,663.1410791205151
Basilicata,2023,ITF5,537577.0,10073.1768,53.36717608292153,3.977195876877786,12651.7,23534.675032599986,9.445546872478271,10.066230145904774,475623,1647590.0,14.314824172091315,273.0,137.7,9019.5,10.8,664.4731610337972
Basilicata,2024,ITF5,533233.0,10073.1768,52.935931790654166,3.969082348184184,,,,,488620,1684347.0,14.336888509564703,246.0,133.3,,9.2,674.3861829025846
Calabria,2011,ITF6,1972049.0,15221.6147,129.5558348353148,4.864111945247567,37064.8,18795.07050788292,10.520423011150186,9.841349907408263,1136190,3479590.0,15.062425028717842,226.0,,24722.2,11.3,669.9429898648649
Calabria,2012,ITF6,1968536.0,15221.6148,129.3250437529138,4.862328954207046,35562.3,18065.35415151158,10.479041366951291,9.801751247680285,1128053,3400617.0,15.03946744371083,213.0,,23889.3,10.6,666.0135698835215
Calabria,2013,ITF6,1962430.0,15221.6148,128.92390365836877,4.8592223361845095,34382.0,17520.115367172333,10.44528845060144,9.771104949352967,1071049,3238679.0,14.990676088580342,196.0,,23722.2,9.4,658.768971332209
Calabria,2014,ITF6,1958226.0,15221.6148,128.64771745504953,4.857077796285472,34017.0,17371.335075726704,10.434615678639949,9.762576717290516,1103900,3258024.0,14.9966314345995,207.0,,23613.3,10.6,684.7500362050655
Calabria,2015,ITF6,1951733.0,15221.6148,128.22115298831503,4.853756530784436,34633.1,17744.793985652752,10.45256515114916,9.783847455300764,1198647,3475860.0,15.061352488376796,228.0,,23893.7,12.0,682.1105072463768
Calabria,2016,ITF6,1943085.0,15221.6148,127.65301352915591,4.849315751157803,34368.2,17687.44033328444,10.444886997218456,9.780610080996691,1226263,3485056.0,15.06399467091423,242.0,98.1,24124.6,11.9,674.9063371807965
Calabria,2017,ITF6,1935097.0,15221.6148,127.12823346442848,4.845196289360324,34517.7,17837.710461025985,10.449227514935902,9.789070060511618,1331211,3792625.0,15.14856894945072,213.0,100.2,24789.6,11.0,672.4517145109903
Calabria,2018,ITF6,1924257.0,15221.6149,126.41608742841076,4.83957874757306,34143.4,17743.679768346952,10.438324581313529,9.783784662106902,1415817,4020981.0,15.207036460675509,222.0,102.1,25169.3,10.4,664.8452139585278
Calabria,2019,ITF6,1912021.0,15221.6149,125.61223053934968,4.833199626198925,34070.3,17818.998849908032,10.43618131601689,9.788020518184398,1443898,4104264.0,15.2275369912492,234.0,103.0,25443.5,10.7,662.050983436853
Calabria,2020,ITF6,1894110.0,15221.6149,124.43554855667776,4.823787899585349,31143.4,16442.234083553754,10.346357623756653,9.707608552537735,650637,2126968.0,14.570208049405355,251.0,99.8,25113.3,11.2,646.3397224378882
Calabria,2021,ITF6,1860601.0,15219.2985,122.25274377790802,4.806090572094186,33616.7,18067.656633528622,10.422778246285397,9.801878692472188,971312,2900725.0,14.88047126371191,255.0,107.3,25983.4,10.4,646.7937631027254
Calabria,2022,ITF6,1855454.0,15219.2985,121.9145547345694,4.803320428330773,34862.8,18789.3636813416,10.459175637133573,9.841046227083773,1297673,3758833.0,15.139619094850188,256.0,144.8,27518.2,11.5,648.4738219895288
Calabria,2023,ITF6,1846610.0,15219.2985,121.3334504215158,4.798542543980658,35269.2,19099.43084896107,10.470765340806706,9.857413815107025,1406587,4028905.0,15.20900518484362,228.0,147.4,29179.2,10.3,649.2774869109948
Calabria,2024,ITF6,1838568.0,15219.2985,120.80504236118372,4.794178026030094,,,,,1408087,4059624.0,15.216600916451828,221.0,137.4,,9.4,639.5609907057917
Campania,2011,ITF3,5822827.0,13670.598,425.9379874969625,6.054293766417182,114190.1,19610.766385468774,11.645619882428736,9.883833999786694,3797236,15468971.0,16.554346704499867,298.0,,72886.0,14.6,1196.9139579349903
Campania,2012,ITF3,5827593.0,13670.598,426.2866189174753,6.055111934391531,111334.2,19104.662937168054,11.620291767691567,9.857687717075173,3610689,14426844.0,16.4846011958106,292.0,,69627.5,13.8,1170.8778184307298
Campania,2013,ITF3,5820430.0,13670.598,425.762647691052,6.05388202595077,108119.3,18575.82687189778,11.590990526081598,9.829616383905964,3496990,13732067.0,16.435244312662295,279.0,,69181.4,13.8,1116.7097976008165
Campania,2014,ITF3,5812768.0,13670.598,425.2021747695309,6.052564761152575,108137.6,18603.460520013872,11.591159769236786,9.831102891859349,3598157,13615316.0,16.426705893515845,282.0,,70161.8,14.4,1103.641693393855
Campania,2015,ITF3,5804370.0,13670.598,424.5878636764829,6.051118965903714,110075.3,18964.211447581736,11.60891995603473,9.850308873906156,3894704,14594612.0,16.496162977470252,276.0,,71521.4,13.6,1071.788386032572
Campania,2016,ITF3,5790783.0,13670.598,423.593978844232,6.048775399377484,110406.9,19065.97087129668,11.611927910872089,9.855660395269744,4479296,15771173.0,16.573694337910513,280.0,98.7,72222.3,13.9,1053.032355575459
Campania,2017,ITF3,5776654.0,13670.598,422.5604468802316,6.046332506102767,111570.7,19314.07004816283,11.62241374965556,9.86858912732793,4704783,16540350.0,16.62131340815818,278.0,100.2,72620.6,13.7,1051.6199478921783
Campania,2018,ITF3,5762889.0,13670.598,421.5535414032364,6.04394679524251,111959.0,19427.58224217055,11.625888011828158,9.874449100360788,5057459,17227171.0,16.66199840465776,277.0,103.1,73943.2,13.4,1051.226893597836
Campania,2019,ITF3,5740291.0,13670.598,419.90050471822815,6.040017789685682,112784.7,19647.906351786,11.633235970548515,9.885726064637971,5262173,18030427.0,16.70757127765004,290.0,104.3,74889.4,13.6,1049.995491433724
Campania,2020,ITF3,5712143.0,13670.598,417.8414872560805,6.035102143513056,102472.9,17939.484358147198,11.537353652359435,9.794759392621517,2960220,11361135.0,16.245708878238243,264.0,101.5,73375.0,11.7,1021.1953336339044
Campania,2021,ITF3,5624260.0,13675.6929,411.2596006012975,6.01922464673426,110887.1,19715.85595260532,11.616267845562726,9.88917846168199,3974656,14906040.0,16.517277057903335,292.0,109.2,77321.2,13.1,1014.9120829576196
Campania,2022,ITF3,5624420.0,13675.6929,411.2713001913051,6.019253094516579,117968.0,20974.251567272717,11.678168680229431,9.951050848566377,4915869,17754294.0,16.692137960121823,297.0,146.3,82855.2,13.4,1007.1585753176043
Campania,2023,ITF3,5609536.0,13675.6929,410.1829458308471,6.016603269520098,119365.4,21279.014877522848,11.689944655701094,9.96547664903452,5263307,18507040.0,16.733661758201904,294.0,147.1,86967.5,12.2,1013.1272686025408
Campania,2024,ITF3,5593906.0,13675.6929,409.04004213197857,6.013813053773838,,,,,5211059,18530994.0,16.73495523956432,286.0,137.8,,11.3,1025.8662894501144
Emilia-Romagna,2011,ITD5,4371595.0,22452.2072,194.70669235584108,5.271494284441979,161403.5,36920.96362997944,11.99166271983689,10.51653478876316,4688334,18125309.0,16.712819806835554,383.0,,90915.0,13.1,1584.389864942929
Emilia-Romagna,2012,ITD5,4391314.0,22452.2072,195.58495790115455,5.275994852297744,156567.7,35653.952324976075,11.961243783282615,10.48161528435312,4752799,17916070.0,16.70120863342382,377.0,,88473.8,13.5,1582.8465730990692
Emilia-Romagna,2013,ITD5,4415458.0,22452.2072,196.6603087468389,5.281477919303177,155426.3,35200.49335765395,11.95392694326534,10.46881537733041,4627401,17214761.0,16.66127777141703,385.0,,89543.9,14.0,1541.4686604614417
Emilia-Romagna,2014,ITD5,4432241.0,22452.2071,197.4078085178539,5.285271683045065,156945.1,35409.87504966449,11.96365134164894,10.47474601642603,4728142,16406822.0,16.613207781910315,369.0,,90467.6,13.0,1433.205912936799
Emilia-Romagna,2015,ITD5,4434377.0,22452.2071,197.5029439310668,5.285753490210168,157614.0,35543.662615966125,11.967904284947856,10.47851715255984,5085049,17468519.0,16.67591090461862,365.0,,91324.6,12.8,1382.0320144801435
Emilia-Romagna,2016,ITD5,4435480.0,22452.2068,197.55207314409736,5.286002211077696,160432.5,36170.26793041565,11.98562857234407,10.495992732450244,5294001,17927383.0,16.70183987843114,357.0,98.2,92745.7,12.3,1359.277537279523
Emilia-Romagna,2017,ITD5,4439768.0,22452.2069,197.74305571716425,5.286968489556648,164087.2,36958.50774184597,12.00815327281716,10.517551149990476,5532418,18884332.0,16.75384314151474,336.0,100.1,95794.7,11.5,1347.8087385527551
Emilia-Romagna,2018,ITD5,4445920.0,22452.207,198.01705908020537,5.288353183953971,166255.0,37394.959873322056,12.021278033253822,10.52929121157591,5713397,18980705.0,16.75893349481871,347.0,102.7,97052.3,11.7,1345.5136531239082
Emilia-Romagna,2019,ITD5,4459453.0,22444.542,198.6876363973032,5.291733925162403,166083.7,37243.06546116755,12.02024715713154,10.52522104436108,5812533,19219123.0,16.77141633091281,346.0,103.7,97346.1,12.0,1340.207848328978
Emilia-Romagna,2020,ITD5,4464119.0,22444.542,198.8955265828102,5.292779694821737,152164.3,34086.07611042627,11.932716137106524,10.436644254676729,3825884,13881320.0,16.446054609385687,339.0,100.3,94661.6,10.6,1335.424190535492
Emilia-Romagna,2021,ITD5,4438937.0,22501.8136,197.27018803497683,5.284574301941195,167555.7,37746.807400059966,12.029071112282413,10.5386561789169,4754097,16787982.0,16.63617383124062,341.0,107.4,98271.0,10.8,1326.3883656318703
Emilia-Romagna,2022,ITD5,4425366.0,22501.8136,196.66708109252136,5.281512355479544,173785.7,39270.35639538063,12.065578209947356,10.578225223043496,5620684,18926494.0,16.756073297368765,345.0,146.4,104781.8,10.4,1332.055790986938
Emilia-Romagna,2023,ITD5,4437578.0,22501.8136,197.20979290309293,5.284268100687523,173877.4,39182.95069968348,12.066105732149891,10.575997000038052,5780043,18862149.0,16.752667773535205,385.0,150.6,109982.3,10.9,1340.702065351418
Emilia-Romagna,2024,ITD5,4451938.0,22501.8136,197.84796368591373,5.287498875566761,,,,,5810066,19019173.0,16.76095813358942,360.0,143.2,,10.0,1366.145426393697
Friuli-Venezia Giulia,2011,ITD4,1225361.0,7862.1541,155.855632491355,5.048930146024556,39378.5,32136.24393138022,10.58097526106644,10.37773976660591,1052218,4480578.0,15.315262613926222,322.0,,23576.0,12.4,979.944316965878
Friuli-Venezia Giulia,2012,ITD4,1223642.0,7862.154,155.63699210165558,5.047526321931502,37523.8,30665.66855338408,10.532730677309454,10.33089901966114,1049381,4326588.0,15.280289798588637,325.0,,22507.7,12.3,979.1539050535988
Friuli-Venezia Giulia,2013,ITD4,1224987.0,7862.1541,155.8080628310249,5.048624883259508,37555.4,30657.79473578087,10.533572455108525,10.330642223413042,1015934,3710308.0,15.126625450005667,319.0,,22707.4,12.5,970.8879573170732
Friuli-Venezia Giulia,2014,ITD4,1224984.0,7862.1541,155.8076812562094,5.0486224342509285,37428.6,30554.35826100586,10.530190397046407,10.327262614359508,1033232,3599306.0,15.096251607064536,321.0,,22690.7,12.5,1010.5396603210154
Friuli-Venezia Giulia,2015,ITD4,1221664.0,7862.1541,155.3854051270758,5.045908515421781,38206.4,31274.065536841557,10.550758319828546,10.350544455970793,1108881,3669067.0,15.115447964277257,309.0,,23103.8,11.7,990.043352601156
Friuli-Venezia Giulia,2016,ITD4,1216208.0,7862.1544,154.69144182668302,5.041432434954266,38053.1,31288.315814400168,10.54673783171889,10.35100001017117,1164773,3803486.0,15.15142857259242,309.0,97.6,23452.6,11.5,979.5050578034684
Friuli-Venezia Giulia,2017,ITD4,1212809.0,7862.1544,154.2591175772381,5.038633770129309,38682.8,31895.211859410672,10.563150335778722,10.37021117905596,1212053,3925873.0,15.183099304849064,290.0,99.9,23807.1,10.6,968.3851156069366
Friuli-Venezia Giulia,2018,ITD4,1211155.0,7924.2172,152.84222648515996,5.029406189897092,39197.5,32363.735442614696,10.576368248234605,10.384793798460215,1287362,4042453.0,15.212362243897042,290.0,103.3,24185.0,10.2,968.0361534600664
Friuli-Venezia Giulia,2019,ITD4,1210414.0,7932.4822,152.58956395767265,5.027751728292069,39629.5,32740.45078791224,10.587329069400372,10.396366619550932,1318763,4151491.0,15.238978104790748,311.0,104.8,24364.7,11.2,962.9004329004332
Friuli-Venezia Giulia,2020,ITD4,1206216.0,7932.4822,152.06034751644322,5.024277465187941,36404.7,30180.912871326527,10.50245316616857,10.314964979423255,838192,2937670.0,14.893127308100436,301.0,101.0,23577.0,11.0,957.2907647907648
Friuli-Venezia Giulia,2021,ITD4,1201510.0,7933.2959,151.45155495838748,5.020265804560768,39768.6,33098.85061297867,10.590832935168237,10.407253836078814,1087736,3775941.0,15.144160181125455,309.0,109.1,24819.0,11.0,962.4603746397696
Friuli-Venezia Giulia,2022,ITD4,1194647.0,7933.2959,150.58646684286666,5.014537449726847,40441.2,33852.00816642908,10.60760434628466,10.42975360202916,1275118,4122286.0,15.231918421819872,331.0,146.2,26034.6,11.5,977.3916187417216
Friuli-Venezia Giulia,2023,ITD4,1194248.0,7933.2959,150.53617248790633,5.014203404066648,40228.8,33685.465665422926,10.60233843601275,10.424821737417448,1311833,4053252.0,15.215030079843393,316.0,147.9,26861.3,10.1,980.3267254038178
Friuli-Venezia Giulia,2024,ITD4,1194616.0,7933.2959,150.58255926140356,5.014511500302274,,,,,1312674,4099295.0,15.226325565669718,287.0,140.1,,8.8,907.6270781105688
